id,banco,tarjeta,red,cat_promedio,tasa_interes,anualidad,comision_disposicion_efectivo,comision_pago_tardio,ingreso_minimo_mensual,linea_credito_minima,umap_x,umap_y,cluster
1,Banorte,Básica,Mastercard/Visa,95.6,69.0,0.0,,0.0,7000.0,,1.3343145,1.0171964,2
2,Banorte,Conmigo,Mastercard/Visa,102.4,69.7458,0.0,,0.0,2000.0,,1.5866385,1.2158186,2
3,Banorte,Clásica,Mastercard/Visa,124.4,66.7458,695.0,6.5,400.0,7000.0,,0.77045864,1.4682977,2
4,Banorte,Oro,Mastercard/Visa,99.5,63.7458,1100.0,6.0,400.0,7000.0,,1.4703414,0.5539775,2
5,Banorte,Platinum,Visa,58.5,,2550.0,,400.0,,,-0.17235935,4.2069354,4
1,HSBC,Zero,Visa,95.5,49.04,0.0,,509.0,25000.0,,-0.08059973,3.8129091,4
2,HSBC,AIR,Mastercard,49.4,27.15,915.0,7.0,509.0,25000.0,,1.1541038,4.9500036,4
3,HSBC,2Now,Mastercard,88.3,48.88,0.0,8.0,509.0,15000.0,,-0.6276852,4.0062084,4
4,HSBC,VIVA,Mastercard,99.0,44.9,0.0,10.0,474.0,5000.0,,-3.1106126,2.642683,0
5,HSBC,VIVA PLUS,Mastercard,81.5,41.89,3124.0,10.0,613.0,35000.0,,-0.17834538,5.8521276,3
6,HSBC,Advance Platinum,Visa,59.5,32.94,2968.0,6.0,655.0,35000.0,,1.7315806,6.0090504,4
7,HSBC,ONE PLUS,Visa,62.1,45.9,2990.0,6.0,655.0,35000.0,,1.8969357,6.3529706,4
8,HSBC,Premier World Elite,Mastercard,42.3,25.87,6770.0,4.5,655.0,60000.0,,2.070407,5.7410445,4
9,HSBC,Clásica,Mastercard,97.3,19.44,863.0,7.0,509.0,,,0.83690166,4.4448905,4
10,HSBC,Oro,Mastercard,57.2,15.85,1249.0,7.0,509.0,,,0.99712974,5.190564,4
11,HSBC,Easy Points,Mastercard,72.0,38.6,1300.0,7.0,509.0,,,0.35276082,4.388794,4
12,HSBC,Platinum,Mastercard,51.4,19.22,2968.0,6.0,655.0,,,1.3463596,5.630816,4
13,HSBC,Básica,Mastercard,48.9,0.0,0.0,,509.0,5000.0,,0.74370366,4.9019136,4
2,Klar,Credito,Mastercard,187.0,123.1,0.0,10.0,300.0,,100.0,-4.6935267,0.31218082,1
3,Klar,Platino,Mastercard,85.0,62.1,1500.0,10.0,300.0,,50000.0,-3.7103088,1.70908,0
4,Nu,"Tarjeta Credito ",Mastercard,145.8,92.5,0.0,0.0,400.0,,,2.349784,-0.11935503,2
6,Plata,Plata Card,Mastercard,163.83,99.9,199.0,10.0,400.0,,,-4.740475,0.8305107,1
7,Stori,Green Clásica,Mastercard,158.3,98.5,0.0,10.0,300.0,,2000.0,-4.415552,0.6850975,1
8,Stori,Green,Mastercard,204.6,115.9,0.0,10.0,300.0,,500.0,-4.603567,0.3115181,1
9,Stori,Black,Mastercard,184.1,109.0,0.0,10.0,300.0,,15000.0,-4.074589,0.7025961,1
10,Stori,Shein,Mastercard,206.1,115.7,0.0,10.0,300.0,,500.0,-4.282192,0.014697864,1
1,Santander,Free,Mastercard,95.7,66.6458,0.0,10.0,410.0,7500.0,,-3.395028,2.366505,0
2,Santander,Platinum,Mastercard,82.6,56.7458,2500.0,10.0,469.0,50000.0,,-0.4592415,5.9920197,3
1,Scotiabank,Travel Clásica,Mastercard,112.0,76.15,760.0,10.0,400.0,7000.0,,-3.8768663,2.382541,0
2,Scotiabank,Travel Oro,Mastercard,103.6,70.94,1150.0,10.0,400.0,8000.0,,-3.6092832,2.629295,0
3,Scotiabank,Travel Platinum,Visa,67.1,49.09,2640.0,10.0,620.0,20000.0,,-0.3381403,5.568303,3
4,Scotiabank,IDEAL bank,Visa,124.4,80.78,0.0,10.0,400.0,7500.0,,-4.040774,2.0848372,0
5,Scotiabank,Básica,Visa,113.3,78.2,0.0,,,6000.0,,0.46169132,1.6379616,2
6,Scotiabank,Singular by bank World Elite,Mastercard,58.9,47.28,5999.0,10.0,620.0,70000.0,,0.19621782,6.1664543,3
1,Banamex,Clásica,Mastercard,88.7,60.25,815.0,5.0,399.0,7000.0,,1.9320058,0.36753994,2
2,Banamex,Explora,Mastercard,81.2,55.75,2725.0,4.0,555.0,30000.0,,2.322687,6.076404,4
3,Banamex,Joy,Mastercard,83.5,60.25,0.0,5.0,399.0,7000.0,,2.6145499,0.5499587,2
4,Banamex,Oro,Mastercard,85.7,58.25,1230.0,4.0,399.0,7000.0,,2.3500912,0.20619687,2
5,Banamex,Platinum,Mastercard,40.7,46.25,2725.0,3.0,555.0,50000.0,,2.5905616,5.9837594,4
6,Banamex,Descubre,Mastercard,86.0,58.25,1230.0,5.0,399.0,7500.0,,2.128768,0.5949843,2
7,Banamex,Beyond,Visa,34.3,24.25,20000.0,1.0,1068.0,200000.0,,1.977119,5.686456,4
8,Banamex,Teletón,Mastercard,87.0,60.25,540.0,5.0,399.0,7000.0,,2.2680752,0.69595355,2
1,BBVA,Azul,Visa,90.9,58.75,748.0,7.0,490.0,6000.0,,-0.075555705,3.2584705,4
2,BBVA,Crea,Visa,121.7,67.75,343.0,,308.0,4000.0,,0.8094857,1.3471165,2
3,BBVA,IPN,Visa,93.9,61.75,748.0,7.0,490.0,6000.0,,-0.32175568,2.9713562,4
4,BBVA,Oro,Visa,68.3,48.75,1151.0,7.0,490.0,20000.0,,0.13414617,4.2250543,4
5,BBVA,Platinum,Visa,49.4,36.75,2579.0,4.5,490.0,50000.0,,2.4306948,5.6271777,4
6,BBVA,Mi Primera,Visa,79.9,58.75,0.0,,0.0,6000.0,,1.6384225,1.271665,2
7,BBVA,Start,Visa,124.8,82.75,0.0,,447.0,2000.0,,0.23074466,1.3657365,2
8,BBVA,Afinidad UNAM,Mastercard,73.4,51.75,1151.0,7.0,490.0,20000.0,,-0.20175707,4.6032467,4
9,BBVA,Vive,Visa,89.6,58.75,748.0,7.0,490.0,6000.0,,-0.32669178,3.5164611,4
